Country_Code,Country,Year,Production,Land,Labor,N,P,K,Pesticides,fert,lnprod,lnland,lnlabor,lnN,lnP,lnK,lnpest,lnfert
3,Azerbaijan,2012,4312,4768300,1646276,27541,6061,2582,516,36184,8,15,14,10,9,8,6,10
3,Azerbaijan,2013,4456,4769800,1652474,25390,10017,3027,490,38434,8,15,14,10,9,8,6,11
3,Azerbaijan,2014,4261,4769700,1669259,37957,17505,5708,532,61170,8,15,14,11,10,9,6,11
3,Azerbaijan,2015,4554,4769800,1680253,89732,4533,4492,530,98757,8,15,14,11,8,8,6,12
3,Azerbaijan,2016,4697,4773000,1711886,86584,501,1300,543,88385,8,15,14,11,6,7,6,11
3,Azerbaijan,2017,4927,4777500,1736778,71689,1329,3795,543,76813,9,15,14,11,7,8,6,11
3,Azerbaijan,2018,5242,4779500,1757286,118934,3,8363,543,127300,9,15,14,12,1,9,6,12
5,Bangladesh,1990,9813,10386000,,609163,236304,88155,1266,933622,9,16,,13,12,11,7,14
5,Bangladesh,1991,9986,10320000,24164569,705600,216600,82200,1287,1004400,9,16,17,13,12,11,7,14
5,Bangladesh,1992,10100,9549000,24676024,713300,212018,73444,1453,998762,9,16,17,13,12,11,7,14
5,Bangladesh,1993,10053,9446000,25134392,733562,149721,62300,1487,945583,9,16,17,14,12,11,7,14
5,Bangladesh,1994,9768,9358000,25537637,803540,153420,92407,1595,1049367,9,16,17,14,12,11,7,14
5,Bangladesh,1995,10085,9374000,25855344,943000,158000,94000,1702,1195000,9,16,17,14,12,11,7,14
5,Bangladesh,1996,10663,9327000,26032344,996070,117455,117000,1919,1230525,9,16,17,14,12,12,8,14
5,Bangladesh,1997,10876,9365000,26885092,876600,116800,115800,2035,1109200,9,16,17,14,12,12,8,14
5,Bangladesh,1998,11198,9434000,27707811,882500,161400,126600,2068,1170500,9,16,17,14,12,12,8,14
5,Bangladesh,1999,12615,9486000,28430990,1014700,207400,143600,2532,1365700,9,16,17,14,12,12,8,14
5,Bangladesh,2000,13370,9400000,29131146,995852,250346,74000,3170,1320198,10,16,17,14,12,11,8,14
5,Bangladesh,2001,13148,9403000,28669756,1054245,248991,146387,3335,1449623,9,16,17,14,12,12,8,14
5,Bangladesh,2002,13469,9353000,28040287,1079064,321758,156017,4206,1556839,10,16,17,14,13,12,8,14
5,Bangladesh,2003,13802,9328000,27352413,951340,200266,167070,5463,1318676,10,16,17,14,12,12,9,14
5,Bangladesh,2004,13574,9323000,26619698,954039,272838,162900,6996,1389777,10,16,17,14,13,12,9,14
5,Bangladesh,2005,15467,9311000,25679777,993327,326713,244350,8091,1564390,10,16,17,14,13,12,9,14
5,Bangladesh,2006,15808,9280000,24750383,1098892,298610,124836,9413,1522338,10,16,17,14,13,12,9,14
5,Bangladesh,2007,16690,9266000,25092142,1048507,256050,136800,10915,1441357,10,16,17,14,12,12,9,14
5,Bangladesh,2008,17835,9253000,25327647,1287000,109700,164400,12403,1561100,10,16,17,14,12,12,9,14
5,Bangladesh,2009,17728,9246000,25386244,1156139,170219,145939,13756,1472297,10,16,17,14,12,12,10,14
5,Bangladesh,2010,18928,9241000,26112200,1166810,296086,196306,13251,1659202,10,16,17,14,13,12,9,14
5,Bangladesh,2011,19818,9128000,26046599,1274820,399740,289200,14798,1963760,10,16,17,14,13,13,10,14
5,Bangladesh,2012,20060,9120000,25979204,1129780,500020,367800,13289,1997600,10,16,17,14,13,13,9,15
5,Bangladesh,2013,20644,9108000,25919096,1111740,500480,342600,15330,1954820,10,16,17,14,13,13,10,14
5,Bangladesh,2014,21539,9099000,26028314,1230260,564880,346200,15857,2141340,10,16,17,14,13,13,10,15
5,Bangladesh,2015,22257,9162240,26015665,1320940,606740,384000,13364,2311680,10,16,17,14,13,13,10,15
5,Bangladesh,2016,22155,9194210,25995473,1172300,638480,436200,14388,2246980,10,16,17,14,13,13,10,15
5,Bangladesh,2017,23937,9187330,26189982,1240440,642160,473400,15144,2356000,10,16,17,14,13,13,10,15
5,Bangladesh,2018,24178,9202300,25984302,1330580,710240,434400,15144,2475220,10,16,17,14,13,13,10,15
6,Bhutan,2002,309,535000,163256,783,177,123,2,1083,6,13,12,7,5,5,1,7
6,Bhutan,2003,312,537000,170574,787,183,128,5,1098,6,13,12,7,5,5,2,7
6,Bhutan,2004,346,584000,172977,818,212,139,7,1169,6,13,12,7,5,5,2,7
6,Bhutan,2005,417,593000,178629,887,221,154,2,1262,6,13,12,7,5,5,1,7
6,Bhutan,2006,447,577000,185415,768,252,133,6,1153,6,13,12,7,6,5,2,7
6,Bhutan,2007,436,563000,188546,800,254,174,7,1228,6,13,12,7,6,5,2,7
6,Bhutan,2008,363,521300,190847,774,240,152,6,1166,6,13,12,7,5,5,2,7
6,Bhutan,2009,367,520000,190065,1608,474,314,6,2396,6,13,12,7,6,6,2,8
6,Bhutan,2010,384,520000,185646,686,192,132,7,1010,6,13,12,7,5,5,2,7
6,Bhutan,2011,439,519600,186465,845,274,189,9,1308,6,13,12,7,6,5,2,7
6,Bhutan,2012,402,519600,179553,776,172,123,7,1071,6,13,12,7,5,5,2,7
6,Bhutan,2013,383,519600,177962,758,266,194,5,1218,6,13,12,7,6,5,2,7
6,Bhutan,2014,386,525600,178706,889,309,225,3,1423,6,13,12,7,6,5,1,7
6,Bhutan,2015,379,525600,197128,920,323,236,11,1479,6,13,12,7,6,5,2,7
6,Bhutan,2016,435,519000,198911,792,313,220,12,1325,6,13,12,7,6,5,2,7
6,Bhutan,2017,424,513000,201411,1274,1593,15,3,2881,6,13,12,7,7,3,1,8
6,Bhutan,2018,415,513000,203460,2819,350,213,4,3382,6,13,12,8,6,5,1,8
7,Brunei,1990,36,11000,,1400,1400,1400,2,4200,4,9,,7,7,7,1,8
7,Brunei,1991,39,11000,2204,1400,1500,1500,2,4400,4,9,8,7,7,7,1,8
7,Brunei,1992,47,11000,2140,1500,1500,1500,2,4500,4,9,8,7,7,7,1,8
7,Brunei,2002,114,11000,1706,19,11,642,2,672,5,9,7,3,2,6,1,7
7,Brunei,2003,113,11000,1653,78,55,71,2,204,5,9,7,4,4,4,1,5
7,Brunei,2004,111,11000,1603,101,99,103,2,303,5,9,7,5,5,5,1,6
7,Brunei,2005,88,11000,1553,299,138,180,2,617,4,9,7,6,5,5,1,6
7,Brunei,2006,122,10300,1480,82,50,0,10,132,5,9,7,4,4,,2,5
7,Brunei,2007,127,11400,1422,442,339,350,14,1131,5,9,7,6,6,6,3,7
7,Brunei,2008,131,11400,1368,126,93,119,6,338,5,9,7,5,5,5,2,6
7,Brunei,2009,133,13400,1299,172,119,121,28,412,5,10,7,5,5,5,3,6
7,Brunei,2010,139,13400,1239,604,552,571,38,1727,5,10,7,6,6,6,4,7
7,Brunei,2011,148,13400,1187,263,75,132,9,470,5,10,7,6,4,5,2,6
7,Brunei,2012,151,13400,1137,293,80,81,2,454,5,10,7,6,4,4,1,6
7,Brunei,2013,161,14400,1090,70,76,77,12,223,5,10,7,4,4,4,2,5
7,Brunei,2014,153,14400,1046,243,232,234,21,709,5,10,7,5,5,5,3,7
7,Brunei,2015,151,14400,1424,243,232,234,21,709,5,10,7,5,5,5,3,7
7,Brunei,2016,158,14400,1933,243,232,234,21,709,5,10,8,5,5,5,3,7
7,Brunei,2017,155,14400,2619,243,232,234,21,709,5,10,8,5,5,5,3,7
7,Brunei,2018,154,14400,2679,243,232,234,21,709,5,10,8,5,5,5,3,7
9,China,1990,477026,505694000,,19557800,5852800,1863100,765307,27273700,13,20,,17,16,14,14,17
9,China,1991,499032,511379000,392733090,19970500,7284300,2404300,765307,29659100,13,20,20,17,16,15,14,17
9,China,1992,523489,514314000,390903713,20329000,6921000,1952000,799174,29202000,13,20,20,17,16,14,14,17
9,China,1993,561063,518223000,381804605,18003300,5544700,1531300,844800,25079300,13,20,20,17,16,14,14,17
9,China,1994,586754,522833000,371971327,19160000,7329000,2353000,978551,28842000,13,20,20,17,16,15,14,17
9,China,1995,641265,522833000,361081692,23781500,8911700,2887000,1087044,35580200,13,20,20,17,16,15,14,17
9,China,1996,670235,522872000,354585299,25275000,8118000,2591000,1140812,35984000,13,20,20,17,16,15,14,17
9,China,1997,701015,522872250,353376246,22949700,9277000,3420000,1195466,35646700,13,20,20,17,16,15,14,17
9,China,1998,736843,522872500,354966493,22887000,9457000,3486000,1231699,35830000,14,20,20,17,16,15,14,17
9,China,1999,764239,522872750,359952737,24142000,8907000,3390000,1321620,36439000,14,20,20,17,16,15,14,17
9,China,2000,784375,522873000,363333447,22139168,8609700,3469000,1279533,34217868,14,20,20,17,16,15,14,17
9,China,2001,800166,523466844,363086878,22422712,8886577,4036354,1274820,35345644,14,20,20,17,16,15,14,17
9,China,2002,833344,524060689,364327672,25040933,10236165,4753208,1312285,40030308,14,20,20,17,16,15,14,18
9,China,2003,839471,524654533,359843378,25198325,9651720,4661755,1325226,39511800,14,20,20,17,16,15,14,17
9,China,2004,889002,525248378,346958923,26232233,10729982,5455830,1386028,42418044,14,20,20,17,16,16,14,18
9,China,2005,917995,525842222,333475371,26636828,11493873,7129176,1460000,45259876,14,20,20,17,16,16,14,18
9,China,2006,942762,526436067,319238756,27244474,11910882,6192375,1537000,45347732,14,20,20,17,16,16,14,18
9,China,2007,967901,527029911,307458305,27982007,10295625,8324983,1623000,46602616,14,20,20,17,16,16,14,18
9,China,2008,1025293,527623756,298678496,28390797,10727334,6044586,1672300,45162716,14,20,20,17,16,16,14,18
9,China,2009,1042467,528217600,287633180,28961333,12800676,4845743,1709000,46607752,14,20,19,17,16,15,14,18
9,China,2010,1067892,528098300,277990272,29531825,14259456,7293699,1758000,51084980,14,20,19,17,16,16,14,18
